Time Slot,Rush Hour,Day,Working Day,City,Area Name,Population,Two-Wheeler Count,Four-Wheeler Count,Weather,Traffic Density
20:00,Yes,Saturday,Yes,Bengaluru,Vijayanagar,260000,686,472,Foggy,Low
20:00,Yes,Monday,Yes,Hyderabad,Alwal,290000,951,449,Sunny,Low
12:00,No,Friday,Yes,Chennai,Mylapore,780000,842,483,Rainy,Medium
20:00,Yes,Sunday,No,Hyderabad,Charminar,210000,974,196,Rainy,Low
09:00,Yes,Saturday,Yes,Mumbai,Girgaon,2550000,343,359,Rainy,Low
09:00,No,Saturday,Yes,Chennai,Anna Nagar,820000,419,471,Cloudy,Medium
19:00,Yes,Saturday,Yes,Bengaluru,Hebbal,290000,327,155,Sunny,High
20:00,No,Thursday,Yes,Hyderabad,Begumpet,190000,771,213,Cloudy,Medium
19:00,Yes,Monday,Yes,Kolkata,Cossipore,570000,202,310,Sunny,Low
20:00,Yes,Saturday,Yes,Kolkata,Esplanade,200000,673,81,Sunny,Low
16:00,Yes,Monday,Yes,Kolkata,Joka,530000,428,482,Rainy,Medium
17:00,No,Friday,Yes,Mumbai,Matunga,2300000,647,212,Foggy,High
19:00,No,Wednesday,Yes,Kolkata,Salt Lake,250000,935,359,Cloudy,Medium
08:00,Yes,Wednesday,Yes,Hyderabad,Patancheru,380000,262,186,Rainy,High
20:00,No,Saturday,Yes,Bengaluru,Hebbal,290000,146,365,Foggy,High
19:00,Yes,Thursday,Yes,Hyderabad,Attapur,260000,410,349,Cloudy,Medium
10:00,Yes,Monday,Yes,Kolkata,Rajarhat,240000,543,159,Sunny,High
12:00,No,Thursday,Yes,Kolkata,Sealdah,220000,670,425,Cloudy,High
20:00,No,Wednesday,Yes,Bengaluru,Nagavara,620000,978,450,Rainy,Low
13:00,No,Friday,Yes,Hyderabad,Charminar,210000,619,97,Cloudy,Medium
12:00,Yes,Tuesday,Yes,Mumbai,Mazgaon,2400000,504,409,Rainy,Low
22:00,No,Friday,Yes,Chennai,Adyar,850000,660,62,Cloudy,Medium
09:00,No,Tuesday,Yes,Chennai,Nungambakkam,900000,473,254,Rainy,High
22:00,No,Sunday,No,Mumbai,Juhu Beach,1150000,958,220,Cloudy,Low
17:00,Yes,Monday,Yes,Hyderabad,Shamshabad,310000,675,385,Cloudy,Low
15:00,No,Monday,Yes,Chennai,Mandaveli,1120000,664,473,Foggy,Medium
16:00,No,Wednesday,Yes,Chennai,Chromepet,1320000,516,328,Rainy,Low
08:00,No,Sunday,No,Kolkata,Tangra,510000,532,250,Foggy,Medium
09:00,Yes,Friday,Yes,Hyderabad,Nizampet,400000,144,188,Foggy,High
13:00,Yes,Tuesday,Yes,Hyderabad,Gachibowli,140000,779,420,Cloudy,Low
18:00,No,Saturday,Yes,Hyderabad,Chandanagar,390000,454,391,Foggy,High
17:00,No,Thursday,Yes,Chennai,Choolaimedu,1140000,572,292,Foggy,Low
13:00,No,Wednesday,Yes,Hyderabad,Himayatnagar,230000,924,65,Foggy,Medium
11:00,No,Tuesday,Yes,Bengaluru,Koramangala,300000,356,405,Cloudy,Medium
22:00,Yes,Wednesday,Yes,Bengaluru,Majestic,560000,840,327,Sunny,Low
19:00,Yes,Monday,Yes,Mumbai,Prabhadevi,2250000,367,262,Cloudy,Medium
19:00,Yes,Sunday,No,Chennai,Guindy,1340000,330,130,Cloudy,High
19:00,Yes,Saturday,Yes,Mumbai,Andheri West,1300000,141,371,Foggy,High
17:00,No,Thursday,Yes,Mumbai,Chembur,1650000,982,431,Rainy,Low
18:00,No,Sunday,No,Kolkata,Dum Dum,270000,841,287,Cloudy,Medium
08:00,Yes,Monday,Yes,Chennai,T Nagar,800000,349,318,Rainy,High
21:00,Yes,Monday,Yes,Chennai,Royapettah,1200000,106,201,Rainy,Low
10:00,Yes,Wednesday,Yes,Bengaluru,MG Road,340000,485,150,Cloudy,High
17:00,Yes,Thursday,Yes,Kolkata,Alipore,550000,677,251,Sunny,Low
16:00,No,Friday,Yes,Bengaluru,Hulimavu,600000,947,145,Rainy,High
17:00,Yes,Saturday,Yes,Bengaluru,Yelahanka,270000,570,81,Sunny,Medium
13:00,Yes,Thursday,Yes,Kolkata,Salt Lake,250000,653,112,Sunny,Medium
